Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[32],Sigmoid,1,0.0001,256,0.3333333333333333
[32],Sigmoid,1,0.0001,512,0.5
[32],Sigmoid,10,10.0,16,0.9666666666666667
[32],Sigmoid,10,10.0,32,0.9666666666666667
[32],Sigmoid,10,10.0,64,0.9333333333333333
[32],Sigmoid,10,10.0,128,0.8333333333333334
[32],Sigmoid,10,10.0,256,0.7
[32],Sigmoid,10,10.0,512,0.9333333333333333
[32],Sigmoid,10,1.0,16,1.0
[32],Sigmoid,10,1.0,32,0.9666666666666667
[32],Sigmoid,10,1.0,64,1.0
[32],Sigmoid,10,1.0,128,1.0
[32],Sigmoid,10,1.0,256,0.8666666666666667
[32],Sigmoid,10,1.0,512,0.9333333333333333
[32],Sigmoid,10,0.1,16,1.0
[32],Sigmoid,10,0.1,32,1.0
[32],Sigmoid,10,0.1,64,0.9666666666666667
[32],Sigmoid,10,0.1,128,0.9666666666666667
[32],Sigmoid,10,0.1,256,0.9666666666666667
[32],Sigmoid,10,0.1,512,0.9666666666666667
[32],Sigmoid,10,0.01,16,0.9666666666666667
[32],Sigmoid,10,0.01,32,0.9666666666666667
[32],Sigmoid,10,0.01,64,0.8
[32],Sigmoid,10,0.01,128,0.9
[32],Sigmoid,10,0.01,256,0.9
[32],Sigmoid,10,0.01,512,0.8666666666666667
[32],Sigmoid,10,0.001,16,0.7666666666666667
[32],Sigmoid,10,0.001,32,0.8333333333333334
[32],Sigmoid,10,0.001,64,0.7333333333333333
[32],Sigmoid,10,0.001,128,0.5
[32],Sigmoid,10,0.001,256,0.7666666666666667
[32],Sigmoid,10,0.001,512,0.43333333333333335
[32],Sigmoid,10,0.0001,16,0.3333333333333333
[32],Sigmoid,10,0.0001,32,0.7
[32],Sigmoid,10,0.0001,64,0.3333333333333333
[32],Sigmoid,10,0.0001,128,0.3
[32],Sigmoid,10,0.0001,256,0.4
[32],Sigmoid,10,0.0001,512,0.3333333333333333
[32],Sigmoid,25,10.0,16,0.9
[32],Sigmoid,25,10.0,32,0.9333333333333333
[32],Sigmoid,25,10.0,64,0.9333333333333333
[32],Sigmoid,25,10.0,128,1.0
[32],Sigmoid,25,10.0,256,0.9333333333333333
[32],Sigmoid,25,10.0,512,1.0
[32],Sigmoid,25,1.0,16,0.9666666666666667
[32],Sigmoid,25,1.0,32,1.0
[32],Sigmoid,25,1.0,64,1.0
[32],Sigmoid,25,1.0,128,0.9666666666666667
[32],Sigmoid,25,1.0,256,1.0
[32],Sigmoid,25,1.0,512,1.0
[32],Sigmoid,25,0.1,16,1.0
[32],Sigmoid,25,0.1,32,1.0
[32],Sigmoid,25,0.1,64,1.0
[32],Sigmoid,25,0.1,128,1.0
[32],Sigmoid,25,0.1,256,1.0
[32],Sigmoid,25,0.1,512,1.0
[32],Sigmoid,25,0.01,16,1.0
[32],Sigmoid,25,0.01,32,1.0
[32],Sigmoid,25,0.01,64,0.9666666666666667
[32],Sigmoid,25,0.01,128,0.9333333333333333
[32],Sigmoid,25,0.01,256,0.9333333333333333
[32],Sigmoid,25,0.01,512,0.9333333333333333
[32],Sigmoid,25,0.001,16,0.8
[32],Sigmoid,25,0.001,32,0.8666666666666667
[32],Sigmoid,25,0.001,64,0.7333333333333333
[32],Sigmoid,25,0.001,128,0.8666666666666667
[32],Sigmoid,25,0.001,256,0.8666666666666667
[32],Sigmoid,25,0.001,512,0.9
[32],Sigmoid,25,0.0001,16,0.3333333333333333
[32],Sigmoid,25,0.0001,32,0.2
[32],Sigmoid,25,0.0001,64,0.0
[32],Sigmoid,25,0.0001,128,0.3333333333333333
[32],Sigmoid,25,0.0001,256,0.3333333333333333
[32],Sigmoid,25,0.0001,512,0.3333333333333333
[32],Sigmoid,50,10.0,16,1.0
[32],Sigmoid,50,10.0,32,1.0
[32],Sigmoid,50,10.0,64,1.0
[32],Sigmoid,50,10.0,128,0.9666666666666667
[32],Sigmoid,50,10.0,256,1.0
[32],Sigmoid,50,10.0,512,1.0
[32],Sigmoid,50,1.0,16,1.0
[32],Sigmoid,50,1.0,32,1.0
[32],Sigmoid,50,1.0,64,1.0
[32],Sigmoid,50,1.0,128,1.0
[32],Sigmoid,50,1.0,256,1.0
[32],Sigmoid,50,1.0,512,1.0
[32],Sigmoid,50,0.1,16,1.0
[32],Sigmoid,50,0.1,32,1.0
[32],Sigmoid,50,0.1,64,1.0
[32],Sigmoid,50,0.1,128,1.0
[32],Sigmoid,50,0.1,256,1.0
[32],Sigmoid,50,0.1,512,1.0
[32],Sigmoid,50,0.01,16,1.0
[32],Sigmoid,50,0.01,32,1.0
[32],Sigmoid,50,0.01,64,1.0
[32],Sigmoid,50,0.01,128,0.9666666666666667
[32],Sigmoid,50,0.01,256,0.9666666666666667
[32],Sigmoid,50,0.01,512,0.9666666666666667
[32],Sigmoid,50,0.001,16,0.9666666666666667
[32],Sigmoid,50,0.001,32,0.9
[32],Sigmoid,50,0.001,64,0.8666666666666667
[32],Sigmoid,50,0.001,128,0.36666666666666664
[32],Sigmoid,50,0.001,256,0.8
[32],Sigmoid,50,0.001,512,0.8
[32],Sigmoid,50,0.0001,16,0.6
[32],Sigmoid,50,0.0001,32,0.7
[32],Sigmoid,50,0.0001,64,0.3333333333333333
[32],Sigmoid,50,0.0001,128,0.36666666666666664
[32],Sigmoid,50,0.0001,256,0.3333333333333333
[32],Sigmoid,50,0.0001,512,0.3333333333333333
[32],Sigmoid,100,10.0,16,1.0
[32],Sigmoid,100,10.0,32,1.0
[32],Sigmoid,100,10.0,64,1.0
[32],Sigmoid,100,10.0,128,1.0
[32],Sigmoid,100,10.0,256,1.0
[32],Sigmoid,100,10.0,512,0.9666666666666667
[32],Sigmoid,100,1.0,16,1.0
[32],Sigmoid,100,1.0,32,1.0
[32],Sigmoid,100,1.0,64,1.0
[32],Sigmoid,100,1.0,128,1.0
[32],Sigmoid,100,1.0,256,1.0
[32],Sigmoid,100,1.0,512,1.0
[32],Sigmoid,100,0.1,16,1.0
[32],Sigmoid,100,0.1,32,1.0
[32],Sigmoid,100,0.1,64,1.0
[32],Sigmoid,100,0.1,128,1.0
[32],Sigmoid,100,0.1,256,1.0
[32],Sigmoid,100,0.1,512,1.0
[32],Sigmoid,100,0.01,16,1.0
[32],Sigmoid,100,0.01,32,1.0
[32],Sigmoid,100,0.01,64,1.0
[32],Sigmoid,100,0.01,128,1.0
[32],Sigmoid,100,0.01,256,1.0
[32],Sigmoid,100,0.01,512,1.0
[32],Sigmoid,100,0.001,16,0.9666666666666667
[32],Sigmoid,100,0.001,32,0.9666666666666667
[32],Sigmoid,100,0.001,64,0.9333333333333333
[32],Sigmoid,100,0.001,128,0.8666666666666667
[32],Sigmoid,100,0.001,256,0.7333333333333333
[32],Sigmoid,100,0.001,512,0.8333333333333334
[32],Sigmoid,100,0.0001,16,0.6666666666666666
[32],Sigmoid,100,0.0001,32,0.9
[32],Sigmoid,100,0.0001,64,0.6666666666666666
[32],Sigmoid,100,0.0001,128,0.3333333333333333
[32],Sigmoid,100,0.0001,256,0.6666666666666666
[32],Sigmoid,100,0.0001,512,0.3333333333333333
[32],Sigmoid,250,10.0,16,0.8333333333333334
[32],Sigmoid,250,10.0,32,1.0
[32],Sigmoid,250,10.0,64,1.0
[32],Sigmoid,250,10.0,128,1.0
[32],Sigmoid,250,10.0,256,0.9333333333333333
[32],Sigmoid,250,10.0,512,1.0
[32],Sigmoid,250,1.0,16,0.9666666666666667
[32],Sigmoid,250,1.0,32,1.0
[32],Sigmoid,250,1.0,64,1.0
[32],Sigmoid,250,1.0,128,1.0
[32],Sigmoid,250,1.0,256,1.0
[32],Sigmoid,250,1.0,512,1.0
[32],Sigmoid,250,0.1,16,1.0
[32],Sigmoid,250,0.1,32,1.0
[32],Sigmoid,250,0.1,64,1.0
[32],Sigmoid,250,0.1,128,1.0
[32],Sigmoid,250,0.1,256,1.0
[32],Sigmoid,250,0.1,512,1.0
[32],Sigmoid,250,0.01,16,1.0
[32],Sigmoid,250,0.01,32,1.0
[32],Sigmoid,250,0.01,64,1.0
[32],Sigmoid,250,0.01,128,1.0
[32],Sigmoid,250,0.01,256,1.0
[32],Sigmoid,250,0.01,512,1.0
[32],Sigmoid,250,0.001,16,1.0
[32],Sigmoid,250,0.001,32,1.0
[32],Sigmoid,250,0.001,64,0.9666666666666667
[32],Sigmoid,250,0.001,128,0.9666666666666667
[32],Sigmoid,250,0.001,256,0.9666666666666667
[32],Sigmoid,250,0.001,512,0.9666666666666667
[32],Sigmoid,250,0.0001,16,0.9666666666666667
[32],Sigmoid,250,0.0001,32,0.7666666666666667
[32],Sigmoid,250,0.0001,64,0.6666666666666666
[32],Sigmoid,250,0.0001,128,0.8333333333333334
[32],Sigmoid,250,0.0001,256,0.7666666666666667
[32],Sigmoid,250,0.0001,512,0.7666666666666667
[32],ReLU,1,10.0,16,0.8333333333333334
[32],ReLU,1,10.0,32,0.6666666666666666
[32],ReLU,1,10.0,64,0.6666666666666666
[32],ReLU,1,10.0,128,0.43333333333333335
[32],ReLU,1,10.0,256,0.3
[32],ReLU,1,10.0,512,0.6666666666666666
[32],ReLU,1,1.0,16,0.9
[32],ReLU,1,1.0,32,0.8333333333333334
[32],ReLU,1,1.0,64,0.6333333333333333
[32],ReLU,1,1.0,128,0.6666666666666666
[32],ReLU,1,1.0,256,0.6666666666666666
[32],ReLU,1,1.0,512,0.6666666666666666
[32],ReLU,1,0.1,16,0.9666666666666667
[32],ReLU,1,0.1,32,0.8333333333333334
[32],ReLU,1,0.1,64,0.8666666666666667
[32],ReLU,1,0.1,128,0.8
[32],ReLU,1,0.1,256,0.7666666666666667
[32],ReLU,1,0.1,512,0.7333333333333333
[32],ReLU,1,0.01,16,0.8
[32],ReLU,1,0.01,32,0.6666666666666666
[32],ReLU,1,0.01,64,0.4
[32],ReLU,1,0.01,128,0.3333333333333333
[32],ReLU,1,0.01,256,0.2
[32],ReLU,1,0.01,512,0.43333333333333335
[32],ReLU,1,0.001,16,0.16666666666666666
[32],ReLU,1,0.001,32,0.43333333333333335
[32],ReLU,1,0.001,64,0.3
[32],ReLU,1,0.001,128,0.3333333333333333
[32],ReLU,1,0.001,256,0.4
[32],ReLU,1,0.001,512,0.13333333333333333
[32],ReLU,1,0.0001,16,0.3333333333333333
[32],ReLU,1,0.0001,32,0.2
[32],ReLU,1,0.0001,64,0.6333333333333333
[32],ReLU,1,0.0001,128,0.2
[32],ReLU,1,0.0001,256,0.6666666666666666
[32],ReLU,1,0.0001,512,0.1
[32],ReLU,10,10.0,16,1.0
[32],ReLU,10,10.0,32,1.0
[32],ReLU,10,10.0,64,1.0
[32],ReLU,10,10.0,128,0.9
[32],ReLU,10,10.0,256,0.9
[32],ReLU,10,10.0,512,0.9666666666666667
[32],ReLU,10,1.0,16,1.0
[32],ReLU,10,1.0,32,1.0
[32],ReLU,10,1.0,64,1.0
[32],ReLU,10,1.0,128,0.9333333333333333
[32],ReLU,10,1.0,256,0.8666666666666667
[32],ReLU,10,1.0,512,1.0
[32],ReLU,10,0.1,16,1.0
[32],ReLU,10,0.1,32,1.0
[32],ReLU,10,0.1,64,1.0
[32],ReLU,10,0.1,128,1.0
[32],ReLU,10,0.1,256,1.0
[32],ReLU,10,0.1,512,1.0
[32],ReLU,10,0.01,16,1.0
[32],ReLU,10,0.01,32,1.0
[32],ReLU,10,0.01,64,0.9
[32],ReLU,10,0.01,128,0.9333333333333333
[32],ReLU,10,0.01,256,0.7666666666666667
[32],ReLU,10,0.01,512,0.7
[32],ReLU,10,0.001,16,0.8333333333333334
[32],ReLU,10,0.001,32,0.7666666666666667
[32],ReLU,10,0.001,64,0.7666666666666667
[32],ReLU,10,0.001,128,0.36666666666666664
[32],ReLU,10,0.001,256,0.5
[32],ReLU,10,0.001,512,0.43333333333333335
[32],ReLU,10,0.0001,16,0.36666666666666664
[32],ReLU,10,0.0001,32,0.36666666666666664
[32],ReLU,10,0.0001,64,0.3
[32],ReLU,10,0.0001,128,0.5
[32],ReLU,10,0.0001,256,0.5
[32],ReLU,10,0.0001,512,0.0
[32],ReLU,25,10.0,16,1.0
[32],ReLU,25,10.0,32,1.0
[32],ReLU,25,10.0,64,0.9666666666666667
[32],ReLU,25,10.0,128,1.0
[32],ReLU,25,10.0,256,1.0
[32],ReLU,25,10.0,512,1.0
[32],ReLU,25,1.0,16,1.0
[32],ReLU,25,1.0,32,1.0
[32],ReLU,25,1.0,64,1.0
[32],ReLU,25,1.0,128,0.9666666666666667
[32],ReLU,25,1.0,256,1.0
[32],ReLU,25,1.0,512,0.9666666666666667
[32],ReLU,25,0.1,16,1.0
[32],ReLU,25,0.1,32,1.0
[32],ReLU,25,0.1,64,1.0
[32],ReLU,25,0.1,128,1.0
[32],ReLU,25,0.1,256,1.0
[32],ReLU,25,0.1,512,1.0
[32],ReLU,25,0.01,16,1.0
[32],ReLU,25,0.01,32,1.0
[32],ReLU,25,0.01,64,1.0
[32],ReLU,25,0.01,128,0.9666666666666667
[32],ReLU,25,0.01,256,1.0
[32],ReLU,25,0.01,512,0.9666666666666667
[32],ReLU,25,0.001,16,0.9666666666666667
[32],ReLU,25,0.001,32,0.7666666666666667
[32],ReLU,25,0.001,64,0.6666666666666666
[32],ReLU,25,0.001,128,0.8
[32],ReLU,25,0.001,256,0.7666666666666667
[32],ReLU,25,0.001,512,0.36666666666666664
[32],ReLU,25,0.0001,16,0.5333333333333333
[32],ReLU,25,0.0001,32,0.5666666666666667
[32],ReLU,25,0.0001,64,0.23333333333333334
[32],ReLU,25,0.0001,128,0.6666666666666666
[32],ReLU,25,0.0001,256,0.3333333333333333
[32],ReLU,25,0.0001,512,0.13333333333333333
[32],ReLU,50,10.0,16,1.0
[32],ReLU,50,10.0,32,1.0
[32],ReLU,50,10.0,64,1.0
[32],ReLU,50,10.0,128,1.0
[32],ReLU,50,10.0,256,0.9666666666666667
[32],ReLU,50,10.0,512,1.0
[32],ReLU,50,1.0,16,1.0
[32],ReLU,50,1.0,32,1.0
[32],ReLU,50,1.0,64,1.0
[32],ReLU,50,1.0,128,1.0
[32],ReLU,50,1.0,256,1.0
[32],ReLU,50,1.0,512,0.9666666666666667
[32],ReLU,50,0.1,16,1.0
[32],ReLU,50,0.1,32,1.0
[32],ReLU,50,0.1,64,1.0
[32],ReLU,50,0.1,128,1.0
[32],ReLU,50,0.1,256,1.0
[32],ReLU,50,0.1,512,1.0
[32],ReLU,50,0.01,16,1.0
[32],ReLU,50,0.01,32,1.0
[32],ReLU,50,0.01,64,1.0
[32],ReLU,50,0.01,128,1.0
[32],ReLU,50,0.01,256,1.0
[32],ReLU,50,0.01,512,1.0
[32],ReLU,50,0.001,16,1.0
[32],ReLU,50,0.001,32,1.0
[32],ReLU,50,0.001,64,0.8333333333333334
[32],ReLU,50,0.001,128,0.7666666666666667
[32],ReLU,50,0.001,256,0.8
[32],ReLU,50,0.001,512,0.7
[32],ReLU,50,0.0001,16,0.6666666666666666
[32],ReLU,50,0.0001,32,0.7333333333333333
[32],ReLU,50,0.0001,64,0.7333333333333333
[32],ReLU,50,0.0001,128,0.5
[32],ReLU,50,0.0001,256,0.5666666666666667
[32],ReLU,50,0.0001,512,0.4666666666666667
[32],ReLU,100,10.0,16,1.0
[32],ReLU,100,10.0,32,1.0
[32],ReLU,100,10.0,64,1.0
[32],ReLU,100,10.0,128,1.0
[32],ReLU,100,10.0,256,1.0
[32],ReLU,100,10.0,512,1.0
[32],ReLU,100,1.0,16,1.0
[32],ReLU,100,1.0,32,1.0
[32],ReLU,100,1.0,64,1.0
[32],ReLU,100,1.0,128,1.0
[32],ReLU,100,1.0,256,1.0
[32],ReLU,100,1.0,512,1.0
[32],ReLU,100,0.1,16,1.0
[32],ReLU,100,0.1,32,1.0
[32],ReLU,100,0.1,64,1.0
[32],ReLU,100,0.1,128,1.0
[32],ReLU,100,0.1,256,1.0
[32],ReLU,100,0.1,512,1.0
[32],ReLU,100,0.01,16,1.0
[32],ReLU,100,0.01,32,1.0
[32],ReLU,100,0.01,64,1.0
[32],ReLU,100,0.01,128,1.0
[32],ReLU,100,0.01,256,1.0
[32],ReLU,100,0.01,512,1.0
[32],ReLU,100,0.001,16,1.0
[32],ReLU,100,0.001,32,1.0
[32],ReLU,100,0.001,64,0.9333333333333333
[32],ReLU,100,0.001,128,0.9666666666666667
[32],ReLU,100,0.001,256,0.8333333333333334
[32],ReLU,100,0.001,512,0.8666666666666667
[32],ReLU,100,0.0001,16,0.8666666666666667
[32],ReLU,100,0.0001,32,0.6
[32],ReLU,100,0.0001,64,0.8333333333333334
[32],ReLU,100,0.0001,128,0.3333333333333333
[32],ReLU,100,0.0001,256,0.2
[32],ReLU,100,0.0001,512,0.43333333333333335
[32],ReLU,250,10.0,16,1.0
[32],ReLU,250,10.0,32,1.0
[32],ReLU,250,10.0,64,1.0
[32],ReLU,250,10.0,128,1.0
[32],ReLU,250,10.0,256,0.9666666666666667
[32],ReLU,250,10.0,512,1.0
[32],ReLU,250,1.0,16,1.0
[32],ReLU,250,1.0,32,1.0
[32],ReLU,250,1.0,64,1.0
[32],ReLU,250,1.0,128,1.0
[32],ReLU,250,1.0,256,1.0
[32],ReLU,250,1.0,512,0.9666666666666667
[32],ReLU,250,0.1,16,1.0
[32],ReLU,250,0.1,32,1.0
[32],ReLU,250,0.1,64,1.0
[32],ReLU,250,0.1,128,1.0
[32],ReLU,250,0.1,256,1.0
[32],ReLU,250,0.1,512,1.0
[32],ReLU,250,0.01,16,1.0
[32],ReLU,250,0.01,32,1.0
[32],ReLU,250,0.01,64,1.0
[32],ReLU,250,0.01,128,1.0
[32],ReLU,250,0.01,256,1.0
[32],ReLU,250,0.01,512,1.0
[32],ReLU,250,0.001,16,1.0
[32],ReLU,250,0.001,32,1.0
[32],ReLU,250,0.001,64,1.0
[32],ReLU,250,0.001,128,1.0
[32],ReLU,250,0.001,256,1.0
[32],ReLU,250,0.001,512,1.0
[32],ReLU,250,0.0001,16,0.9333333333333333
[32],ReLU,250,0.0001,32,0.8333333333333334
[32],ReLU,250,0.0001,64,0.9333333333333333
[32],ReLU,250,0.0001,128,0.7666666666666667
[32],ReLU,250,0.0001,256,0.6333333333333333
[32],ReLU,250,0.0001,512,0.6666666666666666
[32],Tanh,1,10.0,16,0.9666666666666667
[32],Tanh,1,10.0,32,0.9333333333333333
[32],Tanh,1,10.0,64,0.6666666666666666
[32],Tanh,1,10.0,128,0.0
[32],Tanh,1,10.0,256,0.06666666666666667
[32],Tanh,1,10.0,512,0.43333333333333335
[32],Tanh,1,1.0,16,0.9666666666666667
[32],Tanh,1,1.0,32,0.8333333333333334
[32],Tanh,1,1.0,64,0.5666666666666667
[32],Tanh,1,1.0,128,0.7
[32],Tanh,1,1.0,256,0.5333333333333333
[32],Tanh,1,1.0,512,0.9
[32],Tanh,1,0.1,16,0.9
[32],Tanh,1,0.1,32,0.9666666666666667
[32],Tanh,1,0.1,64,0.9333333333333333
[32],Tanh,1,0.1,128,0.7666666666666667
[32],Tanh,1,0.1,256,0.8
[32],Tanh,1,0.1,512,0.7666666666666667
[32],Tanh,1,0.01,16,0.8666666666666667
[32],Tanh,1,0.01,32,0.8
[32],Tanh,1,0.01,64,0.7333333333333333
[32],Tanh,1,0.01,128,0.8333333333333334
[32],Tanh,1,0.01,256,0.23333333333333334
[32],Tanh,1,0.01,512,0.4
[32],Tanh,1,0.001,16,0.3
[32],Tanh,1,0.001,32,0.3333333333333333
[32],Tanh,1,0.001,64,0.0
[32],Tanh,1,0.001,128,0.4
[32],Tanh,1,0.001,256,0.0
[32],Tanh,1,0.001,512,0.36666666666666664
[32],Tanh,1,0.0001,16,0.43333333333333335
[32],Tanh,1,0.0001,32,0.4
[32],Tanh,1,0.0001,64,0.7666666666666667
[32],Tanh,1,0.0001,128,0.03333333333333333
[32],Tanh,1,0.0001,256,0.4
[32],Tanh,1,0.0001,512,0.0
[32],Tanh,10,10.0,16,1.0
[32],Tanh,10,10.0,32,0.9666666666666667
[32],Tanh,10,10.0,64,0.8666666666666667
[32],Tanh,10,10.0,128,0.9333333333333333
[32],Tanh,10,10.0,256,0.9666666666666667
[32],Tanh,10,10.0,512,0.9
[32],Tanh,10,1.0,16,0.9666666666666667
[32],Tanh,10,1.0,32,1.0
[32],Tanh,10,1.0,64,0.9666666666666667
[32],Tanh,10,1.0,128,0.9666666666666667
[32],Tanh,10,1.0,256,1.0
[32],Tanh,10,1.0,512,0.9666666666666667
[32],Tanh,10,0.1,16,1.0
[32],Tanh,10,0.1,32,1.0
[32],Tanh,10,0.1,64,1.0
[32],Tanh,10,0.1,128,1.0
[32],Tanh,10,0.1,256,1.0
[32],Tanh,10,0.1,512,1.0
[32],Tanh,10,0.01,16,1.0
[32],Tanh,10,0.01,32,1.0
[32],Tanh,10,0.01,64,0.9333333333333333
[32],Tanh,10,0.01,128,0.9333333333333333
[32],Tanh,10,0.01,256,0.8666666666666667
[32],Tanh,10,0.01,512,0.8666666666666667
[32],Tanh,10,0.001,16,0.9
[32],Tanh,10,0.001,32,0.7333333333333333
[32],Tanh,10,0.001,64,0.7333333333333333
[32],Tanh,10,0.001,128,0.6666666666666666
[32],Tanh,10,0.001,256,0.6666666666666666
[32],Tanh,10,0.001,512,0.8
[32],Tanh,10,0.0001,16,0.5666666666666667
[32],Tanh,10,0.0001,32,0.7
[32],Tanh,10,0.0001,64,0.23333333333333334
[32],Tanh,10,0.0001,128,0.43333333333333335
[32],Tanh,10,0.0001,256,0.43333333333333335
[32],Tanh,10,0.0001,512,0.6
[32],Tanh,25,10.0,16,0.9333333333333333
[32],Tanh,25,10.0,32,1.0
[32],Tanh,25,10.0,64,0.9666666666666667
[32],Tanh,25,10.0,128,0.9666666666666667
[32],Tanh,25,10.0,256,0.9666666666666667
[32],Tanh,25,10.0,512,1.0
[32],Tanh,25,1.0,16,1.0
[32],Tanh,25,1.0,32,1.0
[32],Tanh,25,1.0,64,1.0
[32],Tanh,25,1.0,128,1.0
[32],Tanh,25,1.0,256,1.0
[32],Tanh,25,1.0,512,1.0
[32],Tanh,25,0.1,16,1.0
[32],Tanh,25,0.1,32,1.0
[32],Tanh,25,0.1,64,1.0
[32],Tanh,25,0.1,128,1.0
[32],Tanh,25,0.1,256,1.0
[32],Tanh,25,0.1,512,1.0
[32],Tanh,25,0.01,16,1.0
[32],Tanh,25,0.01,32,1.0
[32],Tanh,25,0.01,64,1.0
[32],Tanh,25,0.01,128,0.9666666666666667
[32],Tanh,25,0.01,256,0.9666666666666667
[32],Tanh,25,0.01,512,0.9666666666666667
[32],Tanh,25,0.001,16,0.8666666666666667
[32],Tanh,25,0.001,32,0.8333333333333334
[32],Tanh,25,0.001,64,0.8
[32],Tanh,25,0.001,128,0.8
[32],Tanh,25,0.001,256,0.7333333333333333
[32],Tanh,25,0.001,512,0.9666666666666667
[32],Tanh,25,0.0001,16,0.4666666666666667
[32],Tanh,25,0.0001,32,0.3333333333333333
[32],Tanh,25,0.0001,64,0.3333333333333333
[32],Tanh,25,0.0001,128,0.7
[32],Tanh,25,0.0001,256,0.5666666666666667
[32],Tanh,25,0.0001,512,0.4
[32],Tanh,50,10.0,16,0.8
[32],Tanh,50,10.0,32,0.8333333333333334
[32],Tanh,50,10.0,64,0.9666666666666667
[32],Tanh,50,10.0,128,0.9666666666666667
[32],Tanh,50,10.0,256,1.0
[32],Tanh,50,10.0,512,0.8333333333333334
[32],Tanh,50,1.0,16,1.0
[32],Tanh,50,1.0,32,1.0
[32],Tanh,50,1.0,64,1.0
[32],Tanh,50,1.0,128,1.0
[32],Tanh,50,1.0,256,1.0
[32],Tanh,50,1.0,512,1.0
[32],Tanh,50,0.1,16,1.0
[32],Tanh,50,0.1,32,1.0
[32],Tanh,50,0.1,64,1.0
[32],Tanh,50,0.1,128,1.0
[32],Tanh,50,0.1,256,1.0
[32],Tanh,50,0.1,512,1.0
[32],Tanh,50,0.01,16,1.0
[32],Tanh,50,0.01,32,1.0
[32],Tanh,50,0.01,64,1.0
[32],Tanh,50,0.01,128,1.0
[32],Tanh,50,0.01,256,1.0
[32],Tanh,50,0.01,512,1.0
[32],Tanh,50,0.001,16,1.0
[32],Tanh,50,0.001,32,0.9666666666666667
[32],Tanh,50,0.001,64,0.9333333333333333
[32],Tanh,50,0.001,128,0.9
[32],Tanh,50,0.001,256,0.8333333333333334
[32],Tanh,50,0.001,512,0.8333333333333334
[32],Tanh,50,0.0001,16,0.7
[32],Tanh,50,0.0001,32,0.8666666666666667
[32],Tanh,50,0.0001,64,0.4666666666666667
[32],Tanh,50,0.0001,128,0.6666666666666666
[32],Tanh,50,0.0001,256,0.5333333333333333
[32],Tanh,50,0.0001,512,0.4666666666666667
[32],Tanh,100,10.0,16,0.9666666666666667
[32],Tanh,100,10.0,32,1.0
[32],Tanh,100,10.0,64,0.9
[32],Tanh,100,10.0,128,1.0
[32],Tanh,100,10.0,256,1.0
[32],Tanh,100,10.0,512,1.0
[32],Tanh,100,1.0,16,0.9666666666666667
[32],Tanh,100,1.0,32,1.0
[32],Tanh,100,1.0,64,1.0
[32],Tanh,100,1.0,128,0.9666666666666667
[32],Tanh,100,1.0,256,1.0
[32],Tanh,100,1.0,512,1.0
[32],Tanh,100,0.1,16,1.0
[32],Tanh,100,0.1,32,1.0
[32],Tanh,100,0.1,64,1.0
[32],Tanh,100,0.1,128,1.0
[32],Tanh,100,0.1,256,1.0
[32],Tanh,100,0.1,512,1.0
[32],Tanh,100,0.01,16,1.0
[32],Tanh,100,0.01,32,1.0
[32],Tanh,100,0.01,64,1.0
[32],Tanh,100,0.01,128,1.0
[32],Tanh,100,0.01,256,1.0
[32],Tanh,100,0.01,512,1.0
[32],Tanh,100,0.001,16,1.0
[32],Tanh,100,0.001,32,1.0
[32],Tanh,100,0.001,64,1.0
[32],Tanh,100,0.001,128,0.9333333333333333
[32],Tanh,100,0.001,256,0.8666666666666667
[32],Tanh,100,0.001,512,0.8333333333333334
[32],Tanh,100,0.0001,16,0.9
[32],Tanh,100,0.0001,32,0.9333333333333333
[32],Tanh,100,0.0001,64,0.6
[32],Tanh,100,0.0001,128,0.23333333333333334
[32],Tanh,100,0.0001,256,0.7333333333333333
[32],Tanh,100,0.0001,512,0.6
[32],Tanh,250,10.0,16,0.9
[32],Tanh,250,10.0,32,0.8666666666666667
[32],Tanh,250,10.0,64,0.9666666666666667
[32],Tanh,250,10.0,128,0.9666666666666667
[32],Tanh,250,10.0,256,1.0
[32],Tanh,250,10.0,512,1.0
[32],Tanh,250,1.0,16,1.0
[32],Tanh,250,1.0,32,0.9666666666666667
[32],Tanh,250,1.0,64,1.0
[32],Tanh,250,1.0,128,1.0
[32],Tanh,250,1.0,256,1.0
[32],Tanh,250,1.0,512,1.0
[32],Tanh,250,0.1,16,1.0
[32],Tanh,250,0.1,32,1.0
[32],Tanh,250,0.1,64,1.0
[32],Tanh,250,0.1,128,1.0
[32],Tanh,250,0.1,256,1.0
[32],Tanh,250,0.1,512,1.0
[32],Tanh,250,0.01,16,1.0
[32],Tanh,250,0.01,32,1.0
[32],Tanh,250,0.01,64,1.0
[32],Tanh,250,0.01,128,1.0
[32],Tanh,250,0.01,256,1.0
[32],Tanh,250,0.01,512,1.0
[32],Tanh,250,0.001,16,1.0
[32],Tanh,250,0.001,32,1.0
[32],Tanh,250,0.001,64,1.0
[32],Tanh,250,0.001,128,1.0
[32],Tanh,250,0.001,256,1.0
[32],Tanh,250,0.001,512,1.0
[32],Tanh,250,0.0001,16,0.9333333333333333
[32],Tanh,250,0.0001,32,0.8333333333333334
[32],Tanh,250,0.0001,64,0.7333333333333333
[32],Tanh,250,0.0001,128,0.7333333333333333
[32],Tanh,250,0.0001,256,1.0
[32],Tanh,250,0.0001,512,0.7333333333333333
